PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
     1    2   1.000  index, nleg, degeneracy, r=  2.4075
    2.589370   -0.439620    0.000000   3 'Fe    '     2.6264  122.4339    0.0000
    1.608490    1.622360    0.878660   3 'Fe    '     2.4466  115.0916    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.4477  122.4745    0.0000
    20    3   4.000  index, nleg, degeneracy, r=  3.7829
      x           y           z     ipot  label      rleg      beta        eta
    2.589370   -0.439620    0.000000   3 'Fe    '     2.6264  122.1223    0.0000
    1.167780   -0.967300   -1.949370   3 'Fe    '     2.4697  115.7552    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.4697  122.1224    0.0000
    21    2   1.000  index, nleg, degeneracy, r=  3.8854
      x           y           z     ipot  label      rleg      beta        eta
   -3.518150   -0.967300    1.335480   3 'Fe    '     3.8854  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     3.8854  180.0000    0.0000
    22    2   1.000  index, nleg, degeneracy, r=  4.0862
      x           y           z     ipot  label      rleg      beta        eta
   -3.218390   -2.423760   -0.681500   3 'Fe    '     4.0862  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     4.0862  180.0000    0.0000
    23    3   2.000  index, nleg, degeneracy, r=  4.1231
      x           y           z     ipot  label      rleg      beta        eta
   -0.018770    2.132100    2.631260   3 'Fe    '     3.3867  134.7171    0.0000
   -1.607650    0.501830    1.720430   3 'Fe    '     2.4519   91.6427    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.4075  133.6401    0.0000
    24    2   1.000  index, nleg, degeneracy, r=  4.1263
      x           y           z     ipot  label      rleg      beta        eta
    3.366300   -0.089320   -2.384540   3 'Fe    '     4.1263  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     4.1263  180.0000    0.0000
    25    3   2.000  index, nleg, degeneracy, r=  4.1399
      x           y           z     ipot  label      rleg      beta        eta
   -0.018770    2.132100    2.631260   3 'Fe    '     3.3867  133.7709    0.0000
    1.608490    1.622360    0.878660   3 'Fe    '     2.4453   92.3987    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.4477  133.8304    0.0000
    26    2   1.000  index, nleg, degeneracy, r=  4.1601
      x           y           z     ipot  label      rleg      beta        eta
    0.254260    2.606860   -3.232010   3 'Fe    '     4.1601  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     4.1601  180.0000    0.0000
    27    2   1.000  index, nleg, degeneracy, r=  4.1630
      x           y           z     ipot  label      rleg      beta        eta
    0.828870   -3.310260   -2.384540   3 'Fe    '     4.1630  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     4.1630  180.0000    0.0000
    28    2   1.000  index, nleg, degeneracy, r=  4.1720
      x           y           z     ipot  label      rleg      beta        eta
   -2.088700   -1.451270    3.307080   3 'Fe    '     4.1720  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     4.1720  180.0000    0.0000
    29    2   1.000  index, nleg, degeneracy, r=  4.1843
      x           y           z     ipot  label      rleg      beta        eta
    3.036130   -2.432320   -1.542110   2 'Si    '     4.1848  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     4.1848  180.0000    0.0000
    30    2   1.000  index, nleg, degeneracy, r=  4.1843
      x           y           z     ipot  label      rleg      beta        eta
   -3.838760    1.414340    0.878660   3 'Fe    '     4.1843  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     4.1843  180.0000    0.0000
    31    2   1.000  index, nleg, degeneracy, r=  4.1884
      x           y           z     ipot  label      rleg      beta        eta
    2.099530    3.559470   -0.681500   3 'Fe    '     4.1884  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     4.1884  180.0000    0.0000
    32    2   2.000  index, nleg, degeneracy, r=  4.1890
      x           y           z     ipot  label      rleg      beta        eta
    1.419860    0.513560   -3.907820   3 'Fe    '     4.1894  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     4.1894  180.0000    0.0000
    33    2   1.000  index, nleg, degeneracy, r=  4.2018
      x           y           z     ipot  label      rleg      beta        eta
    3.810500    1.634370   -0.681500   3 'Fe    '     4.2018  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     4.2018  180.0000    0.0000
    34    2   1.000  index, nleg, degeneracy, r=  4.2354
      x           y           z     ipot  label      rleg      beta        eta
    3.190130   -2.643790    0.878660   3 'Fe    '     4.2354  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     4.2354  180.0000    0.0000
    35    2   1.000  index, nleg, degeneracy, r=  4.2549
      x           y           z     ipot  label      rleg      beta        eta
    3.827790    0.701730    1.720430   3 'Fe    '     4.2549  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     4.2549  180.0000    0.0000
    36    3   2.000  index, nleg, degeneracy, r=  4.3668
      x           y           z     ipot  label      rleg      beta        eta
   -3.518150   -0.967300    1.335480   3 'Fe    '     3.8854  143.5571    0.0000
   -1.607650    0.501830    1.720430   3 'Fe    '     2.4406   73.4690    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.4075  142.9739    0.0000
    37    3   2.000  index, nleg, degeneracy, r=  4.3886
      x           y           z     ipot  label      rleg      beta        eta
   -3.518150   -0.967300    1.335480   3 'Fe    '     3.8854  142.5677    0.0000
   -1.295280   -1.880460    0.878660   3 'Fe    '     2.4462   74.8564    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.4466  142.5759    0.0000
    38    2   1.000  index, nleg, degeneracy, r=  4.4846
      x           y           z     ipot  label      rleg      beta        eta
   -1.514090    0.747870    4.154540   3 'Fe    '     4.4846  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     4.4846  180.0000    0.0000
    39    2   1.000  index, nleg, degeneracy, r=  4.4907
      x           y           z     ipot  label      rleg      beta        eta
   -2.309040    2.094890   -3.232010   3 'Fe    '     4.4907  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     4.4907  180.0000    0.0000
    40    2   1.000  index, nleg, degeneracy, r=  4.4941
      x           y           z     ipot  label      rleg      beta        eta
   -2.583680    2.568720    2.631260   3 'Fe    '     4.4941  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     4.4941  180.0000    0.0000
    41    3   2.000  index, nleg, degeneracy, r=  4.5015
      x           y           z     ipot  label      rleg      beta        eta
    3.366300   -0.089320   -2.384540   3 'Fe    '     4.1263  147.3245    0.0000
    1.167780   -0.967300   -1.949370   3 'Fe    '     2.4070   64.4230    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.4697  148.2525    0.0000
    42    2   1.000  index, nleg, degeneracy, r=  4.5099
      x           y           z     ipot  label      rleg      beta        eta
   -0.923100   -3.544570    2.631260   3 'Fe    '     4.5099  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     4.5099  180.0000    0.0000
    43    3   2.000  index, nleg, degeneracy, r=  4.5199
      x           y           z     ipot  label      rleg      beta        eta
    0.828870   -3.310260   -2.384540   3 'Fe    '     4.1630  148.1593    0.0000
    1.167780   -0.967300   -1.949370   3 'Fe    '     2.4070   62.7825    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.4697  149.0582    0.0000
    44    3   2.000  index, nleg, degeneracy, r=  4.5304
      x           y           z     ipot  label      rleg      beta        eta
   -0.691830    0.497690   -2.384540   3 'Fe    '     2.5323  145.7668    0.0000
   -1.295280   -1.880460    0.878660   3 'Fe    '     4.0827  144.3907    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.4466   69.8425    0.0000
    45    3   2.000  index, nleg, degeneracy, r=  4.5317
      x           y           z     ipot  label      rleg      beta        eta
    3.036130   -2.432320   -1.542110   2 'Si    '     4.1848  148.6377    0.0000
    1.167780   -0.967300   -1.949370   3 'Fe    '     2.4089   61.8690    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.4697  149.4933    0.0000
    46    3   2.000  index, nleg, degeneracy, r=  4.5340
      x           y           z     ipot  label      rleg      beta        eta
   -3.218390   -2.423760   -0.681500   3 'Fe    '     4.0862  145.8110    0.0000
   -1.295280   -1.880460    0.878660   3 'Fe    '     2.5353   69.8006    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.4466  144.3884    0.0000
    47    2   1.000  index, nleg, degeneracy, r=  4.5490
      x           y           z     ipot  label      rleg      beta        eta
    1.283190    4.010810    1.720430   3 'Fe    '     4.5490  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     4.5490  180.0000    0.0000
    48    3   2.000  index, nleg, degeneracy, r=  4.5624
      x           y           z     ipot  label      rleg      beta        eta
   -3.218390   -2.423760   -0.681500   3 'Fe    '     4.0862  142.4452    0.0000
   -1.035140   -1.852820   -1.542110   2 'Si    '     2.4152   71.6891    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.6235  145.8657    0.0000
    49    3   2.000  index, nleg, degeneracy, r=  4.5634
      x           y           z     ipot  label      rleg      beta        eta
   -0.691830    0.497690   -2.384540   3 'Fe    '     2.5323  147.0396    0.0000
    1.608490    1.622360    0.878660   3 'Fe    '     4.1479  145.7468    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.4477   67.2136    0.0000
    50    3   2.000  index, nleg, degeneracy, r=  4.5634
      x           y           z     ipot  label      rleg      beta        eta
   -0.240720   -1.489420   -3.907820   3 'Fe    '     4.1890  148.0194    0.0000
    1.167780   -0.967300   -1.949370   3 'Fe    '     2.4682   63.9395    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.4697  148.0411    0.0000
    51    3   2.000  index, nleg, degeneracy, r=  4.5634
      x           y           z     ipot  label      rleg      beta        eta
    1.419860    0.513560   -3.907820   3 'Fe    '     4.1894  148.0283    0.0000
    1.167780   -0.967300   -1.949370   3 'Fe    '     2.4682   63.9216    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.4697  148.0501    0.0000
    52    3   2.000  index, nleg, degeneracy, r=  4.5707
      x           y           z     ipot  label      rleg      beta        eta
   -2.088700   -1.451270    3.307080   3 'Fe    '     4.1720  148.2250    0.0000
   -1.607650    0.501830    1.720430   3 'Fe    '     2.5619   65.8552    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.4075  145.9198    0.0000
    53    3   2.000  index, nleg, degeneracy, r=  4.5726
      x           y           z     ipot  label      rleg      beta        eta
   -0.691830    0.497690   -2.384540   3 'Fe    '     2.5323  149.2476    0.0000
   -1.607650    0.501830    1.720430   3 'Fe    '     4.2059  147.4647    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.4075   63.2877    0.0000
    54    3   2.000  index, nleg, degeneracy, r=  4.5726
      x           y           z     ipot  label      rleg      beta        eta
   -3.838760    1.414340    0.878660   3 'Fe    '     4.1843  148.5656    0.0000
   -1.607650    0.501830    1.720430   3 'Fe    '     2.5533   65.0133    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.4075  146.4210    0.0000
    55    3   2.000  index, nleg, degeneracy, r=  4.5751
      x           y           z     ipot  label      rleg      beta        eta
    0.254260    2.606860   -3.232010   3 'Fe    '     4.1601  145.4903    0.0000
    1.502350    1.383250   -1.542110   2 'Si    '     2.4312   67.0742    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.5590  147.4355    0.0000
    56    3   2.000  index, nleg, degeneracy, r=  4.5772
      x           y           z     ipot  label      rleg      beta        eta
    0.254260    2.606860   -3.232010   3 'Fe    '     4.1601  145.8650    0.0000
   -0.691830    0.497690   -2.384540   3 'Fe    '     2.4621   67.2002    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.5323  146.9347    0.0000
    57    2   1.000  index, nleg, degeneracy, r=  4.5786
      x           y           z     ipot  label      rleg      beta        eta
   -3.992760    1.625810   -1.542110   2 'Si    '     4.5786  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     4.5786  180.0000    0.0000
    58    2   1.000  index, nleg, degeneracy, r=  4.5798
      x           y           z     ipot  label      rleg      beta        eta
    2.376890    2.094890    3.307080   3 'Fe    '     4.5798  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     4.5798  180.0000    0.0000
    59    3   2.000  index, nleg, degeneracy, r=  4.5813
      x           y           z     ipot  label      rleg      beta        eta
    2.099530    3.559470   -0.681500   3 'Fe    '     4.1884  146.2762    0.0000
    1.502350    1.383250   -1.542110   2 'Si    '     2.4152   65.3241    0.0000
